City_ID,City,Country,Max Temperature,Description,Latitude (Deg),Longitude (Deg),Hotel Name
503,kota kinabalu,MY,73.38,few clouds,5.9749,116.0724,Gaya Centre Hotel
504,nelson bay,AU,68.0,light rain,-32.7167,152.15,Mantra Nelson Bay
505,calama,CL,70.29,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
507,mandurah,AU,60.22,scattered clouds,-32.55,115.7,Atrium Hotel Mandurah
508,lucapa,AO,66.04,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
517,chaiya,TH,76.28,few clouds,9.3862,99.1986,JP Place
518,kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
521,amtala,IN,67.95,clear sky,22.3714,88.2944,Ibiza The Fern Resort & Spa
524,malpe,IN,79.9,clear sky,13.35,74.7167,Hotel Sri Krishna Residency
525,goure,NE,67.66,clear sky,13.9835,10.2704,
527,yeppoon,AU,78.58,few clouds,-23.1333,150.7333,Villa Mar Colina
528,san quintin,MX,63.1,clear sky,30.4833,-115.95,Don Eddie's Landing
531,mareeba,AU,79.45,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
533,sawtell,AU,71.19,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
539,san jose,US,62.02,scattered clouds,37.3394,-121.895,The Westin San Jose
540,kudahuvadhoo,MV,79.48,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
543,bumba,CD,75.81,broken clouds,2.1833,22.4667,Père Carlos
544,conceicao do araguaia,BR,77.56,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
545,bhuban,IN,66.97,clear sky,20.8833,85.8333,Prasanta Sahoo
546,port victoria,KE,72.28,broken clouds,0.0939,33.9756,Homepark motel
548,camacha,PT,61.54,drizzle,33.0833,-16.3333,Hotel Porto Santo & Spa
552,sharjah,AE,75.25,few clouds,25.3573,55.4033,Swiss Belhotel Sharjah
557,sangueya,GN,76.33,overcast clouds,10.7,-14.3667,
563,cururupu,BR,78.15,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
564,itacoatiara,BR,77.13,moderate rain,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
565,salem,IN,69.71,broken clouds,11.65,78.1667,YMCA PROGRAM CENTRE
566,sijunjung,ID,71.94,heavy intensity rain,-0.6876,100.9537,Hotel Bukik Gadang
570,vila velha,BR,78.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
573,kupang,ID,75.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
577,boende,CD,74.73,light rain,-0.2167,20.8667,
579,emerald,AU,78.35,scattered clouds,-23.5333,148.1667,The Irish Village
583,ouadda,CF,77.41,broken clouds,8.0777,22.4007,
586,chicama,PE,64.94,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
587,hobyo,SO,78.26,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
594,sumbe,AO,77.59,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
596,marang,MY,78.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
598,monze,ZM,74.43,clear sky,-16.2833,27.4833,Fay terry lodge
600,hukuntsi,BW,73.76,overcast clouds,-24.0,21.75,Entabeni Hotel
605,manokwari,ID,79.41,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
606,jamalpur,BD,60.67,clear sky,24.9167,89.9333,College hostel
609,nkhotakota,MW,77.65,scattered clouds,-12.9274,34.2961,Sitima Inn
610,mahenge,TZ,63.32,light rain,-8.6833,36.7167,Mkondosii Guest House
611,morros,BR,76.37,overcast clouds,-9.4467,-46.3003,
612,nova olimpia,BR,77.63,light rain,-14.7972,-57.2881,Motel glamour
614,nerang,AU,76.93,few clouds,-27.9833,153.3333,RACV Royal Pines Resort Gold Coast
616,wonthaggi,AU,62.71,clear sky,-38.6044,145.5913,Wonthaggi Caravans & Trailers
623,port moresby,PG,78.22,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
625,eucaliptus,BO,63.46,broken clouds,-17.5833,-67.5167,Hotel Serrano
626,praia da vitoria,PT,65.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
628,gorontalo,ID,75.4,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
629,broken hill,AU,71.31,clear sky,-31.95,141.4333,Royal Exchange Hotel
630,kontagora,NG,77.45,broken clouds,10.3999,5.4695,Queens Guest Inn
631,ciudad del maiz,MX,77.74,broken clouds,22.4,-99.6,Hotel Casona del General
636,mutis,CO,77.47,moderate rain,6.2262,-77.4044,Paraiso Escondido
638,pizarro,CO,75.38,heavy intensity rain,4.9533,-77.366,Hotel Limonar
643,havelock,US,75.43,overcast clouds,34.8791,-76.9013,Sherwood Motel
649,mumbwa,ZM,74.82,scattered clouds,-14.9783,27.0619,Mumbwa Motel
651,ambilobe,MG,72.66,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
652,vadamadurai,IN,69.87,broken clouds,10.4667,78.0833,
656,cruzilia,BR,68.38,overcast clouds,-21.8386,-44.8083,Pousada Cruzília
658,pemalang,ID,76.3,overcast clouds,-6.9,109.3667,The Winner Hotel Pemalang
659,amparafaravola,MG,63.93,overcast clouds,-17.5833,48.2167,Aina Franco
660,biloela,AU,76.82,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
663,gulu,UG,69.89,scattered clouds,2.7746,32.299,ACHOLI INN
671,chilca,PE,72.84,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
673,cradock,ZA,64.85,scattered clouds,-32.1642,25.6192,Die Hoekhuis
675,praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
676,babati,TZ,62.87,light rain,-4.2167,35.75,White Rose Lodge
677,banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
678,necaxa,MX,70.34,broken clouds,20.2167,-98.0,Hotel Forest Spa
680,mayumba,GA,76.3,overcast clouds,-3.432,10.6554,LIKWALE LODGE
687,abu zabad,SD,71.83,clear sky,12.35,29.25,حامد محمد نور
689,moerai,PF,78.13,light rain,-22.4333,-151.3333,Le Manotel
691,warah,PK,60.69,scattered clouds,27.4481,67.7978,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
692,gonzales,US,69.98,overcast clouds,30.2385,-90.9201,Hampton Inn Gonzales
